Master,Slave,Average Coherence
2021-01-08,2021-02-05,0.22639906406402588
2021-03-05,2021-03-09,0.33619022369384766
2021-03-29,2021-04-14,0.22828572988510132
2021-03-21,2021-04-10,0.22674259543418884
2020-12-27,2021-01-16,0.23045329749584198
2020-09-30,2020-11-09,0.2269395887851715
2020-12-19,2020-12-27,0.23400534689426422
2022-04-01,2022-05-31,0.22396975755691528
2021-01-04,2021-01-28,0.22692261636257172
2021-03-29,2021-04-10,0.2299729287624359
2020-09-14,2020-11-13,0.22710831463336945
2021-03-13,2021-04-02,0.22635263204574585
2021-04-14,2021-06-21,0.22528649866580963
2020-12-19,2020-12-23,0.24999675154685974
2022-04-13,2022-05-19,0.22402797639369965
2021-02-01,2021-02-13,0.23459310829639435
2021-03-17,2021-03-21,0.25258633494377136
2021-02-05,2021-03-01,0.22759981453418732
2021-04-14,2021-04-22,0.22832846641540527
2020-11-05,2020-11-13,0.23632483184337616
2021-02-01,2021-02-17,0.23623311519622803
2021-03-09,2021-03-29,0.23009848594665527
2021-04-14,2021-04-26,0.22682960331439972
2021-03-17,2021-03-25,0.2346828728914261
2021-04-26,2021-04-30,0.239134281873703
2020-12-23,2020-12-27,0.24484781920909882
2020-12-27,2021-01-04,0.23721079528331757
2021-04-26,2021-06-21,0.24178968369960785
2020-11-01,2020-11-21,0.22125932574272156
2021-04-30,2022-04-25,0.2289198786020279
2020-11-09,2020-12-07,0.2280842512845993
2020-09-14,2020-11-05,0.23643983900547028
2021-03-21,2021-04-02,0.2346799373626709
2021-03-29,2021-04-06,0.23344242572784424
2021-04-06,2021-04-18,0.2246393859386444
2021-02-05,2021-02-21,0.23077677190303802
2021-04-10,2021-04-14,0.2835901081562042
2020-11-09,2020-11-21,0.24456574022769928
2021-04-26,2021-06-25,0.2433604747056961
2021-03-13,2021-03-17,0.2423851639032364
